player_name,player_id,batting_style,bowling_style,position,country
A Ashish Reddy,0,right-hand-bat,right-arm-fast-medium,Bowler,India
A Badoni,1,right-hand-bat,right-arm-offbreak,Batsman,India
A Chandila,2,right-hand-bat,right-arm-offbreak,Allrounder,India
A Chopra,3,right-hand-bat,,Batsman,India
A Choudhary,4,right-hand-bat,right-arm-fast-medium,Bowler,India
A Dananjaya,5,left-hand-bat,right-arm-offbreak,Allrounder,Sri Lanka
A Flintoff,6,right-hand-bat,right-arm-fast-medium,Allrounder,England
A Kamboj,7,,,,
A Kumble,8,right-hand-bat,legbreak-googly,Bowler,India
A Manohar,9,right-hand-bat,legbreak,Allrounder,India
A Mhatre,10,,,,
A Mishra,11,right-hand-bat,legbreak,Bowler,India
A Mithun,12,right-hand-bat,right-arm-fast-medium,Bowler,India
A Mukund,13,left-hand-bat,legbreak-googly,Batsman,India
A Nehra,14,right-hand-bat,left-arm-fast-medium,Bowler,India
A Nel,15,right-hand-bat,right-arm-fast-medium,Bowler,South Africa
A Nortje,16,right-hand-bat,right-arm-fast,Bowler,South Africa
A Raghuvanshi,17,right-hand-bat,slow-left-arm-orthodox,Bowler,India
A Singh,18,right-hand-bat,right-arm-fast-medium,Bowler,India
A Symonds,19,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
A Tomar,20,right-hand-bat,right-arm-offbreak,Batsman,India
A Uniyal,21,,,,
A Zampa,22,right-hand-bat,legbreak-googly,Bowler,Australia
AA Bilakhia,23,,,,
AA Chavan,24,,,,
AA Jhunjhunwala,25,,,,
AA Kazi,26,left-hand-bat,slow-left-arm-orthodox,Bowler,India
AA Kulkarni,27,right-hand-bat,right-arm-fast-medium,Batsman,Bulgaria
AA Noffke,28,,,,
AB Agarkar,29,right-hand-bat,right-arm-fast,Bowler,India
AB Barath,30,,,,
AB Dinda,31,right-hand-bat,right-arm-fast-medium,Bowler,India
AB McDonald,32,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
AB de Villiers,33,right-hand-bat,right-arm-fast-medium,Wicketkeeper,South Africa
AC Blizzard,34,left-hand-bat,left-arm-fast-medium,Batsman,Australia
AC Gilchrist,35,left-hand-bat,right-arm-offbreak,Wicketkeeper,Australia
AC Thomas,36,right-hand-bat,,Bowler,India
AC Voges,37,right-hand-bat,slow-left-arm-orthodox,Batsman,Australia
AD Hales,38,right-hand-bat,right-arm-fast-medium,Top Order Batter,England
AD Mascarenhas,39,right-hand-bat,right-arm-fast-medium,Allrounder,England
AD Mathews,40,right-hand-bat,right-arm-fast-medium,Allrounder,Sri Lanka
AD Nath,41,right-hand-bat,right-arm-fast-medium,Batsman,India
AD Russell,42,right-hand-bat,right-arm-fast,Allrounder,West Indies
AF Milne,43,right-hand-bat,right-arm-fast,Bowler,New Zealand
AG Murtaza,44,left-hand-bat,slow-left-arm-orthodox,Bowler,India
AG Paunikar,45,right-hand-bat,,Wicketkeeper,India
AJ Finch,46,right-hand-bat,slow-left-arm-orthodox,Batsman,Australia
AJ Hosein,47,left-hand-bat,slow-left-arm-orthodox,Bowler,West Indies
AJ Turner,48,right-hand-bat,right-arm-offbreak,Middle Order Batter,Australia
AJ Tye,49,right-hand-bat,right-arm-fast-medium,Bowler,Australia
AK Markram,50,right-hand-bat,right-arm-offbreak,Batsman,South Africa
AL Menaria,51,left-hand-bat,slow-left-arm-orthodox,Batsman,India
AM Nayar,52,left-hand-bat,right-arm-fast-medium,Allrounder,India
AM Rahane,53,right-hand-bat,right-arm-fast-medium,Batsman,India
AM Salvi,54,,,,
AN Ahmed,55,right-hand-bat,right-arm-fast-medium,Bowler,India
AN Ghosh,56,,,Batsman,India
AP Dole,57,,,,
AP Majumdar,58,right-hand-bat,legbreak-googly,Batsman,India
AP Tare,59,right-hand-bat,,Wicketkeeper,India
AR Bawne,60,,,,
AR Patel,61,left-hand-bat,slow-left-arm-orthodox,Allrounder,India
AS Joseph,62,right-hand-bat,right-arm-fast-medium,Bowler,West Indies
AS Rajpoot,63,right-hand-bat,right-arm-fast-medium,Bowler,India
AS Raut,64,,,Allrounder,India
AS Roy,65,left-hand-bat,slow-left-arm-orthodox,Allrounder,India
AS Yadav,66,right-hand-bat,right-arm-fast,Allrounder,India
AT Carey,67,left-hand-bat,,Wicketkeeper,Australia
AT Rayudu,68,,,,
AU Rashid,69,right-hand-bat,legbreak,Bowler,England
AUK Pathan,70,left-hand-bat,,Batsman,Qatar
Abdul Basith,71,right-hand-bat,right-arm-offbreak,Allrounder,India
Abdul Samad,72,right-hand-bat,legbreak,Allrounder,India
Abdur Razzak,73,left-hand-bat,slow-left-arm-orthodox,Bowler,Bangladesh
Abhishek Sharma,74,left-hand-bat,slow-left-arm-orthodox,Allrounder,India
Abishek Porel,75,left-hand-bat,,Wicketkeeper,India
Akash Deep,76,,,Bowler,Italy
Akash Madhwal,77,right-hand-bat,right-arm-fast-medium,Bowler,India
Akash Singh,78,right-hand-bat,left-arm-fast-medium,Bowler,India
Aman Hakim Khan,79,,,Allrounder,Sweden
Anand Rajan,80,right-hand-bat,right-arm-fast-medium,Bowler,India
Aniket Verma,81,left-hand-bat,legbreak,Batsman,India
Anirudh Singh,82,left-hand-bat,,Wicketkeeper,India
Ankit Sharma,83,left-hand-bat,slow-left-arm-orthodox,Bowler,India
Ankit Soni,84,right-hand-bat,,Bowler,Germany
Anmolpreet Singh,85,right-hand-bat,right-arm-offbreak,Batsman,India
Anuj Rawat,86,left-hand-bat,,Wicketkeeper,India
Anureet Singh,87,right-hand-bat,right-arm-fast-medium,Bowler,India
Arjun Tendulkar,88,left-hand-bat,left-arm-fast-medium,Bowler,India
Arshad Khan,89,left-hand-bat,left-arm-fast-medium,Allrounder,India
Arshad Khan (2),90,left-hand-bat,left-arm-fast-medium,Allrounder,India
Arshdeep Singh,91,left-hand-bat,left-arm-fast-medium,Bowler,India
Ashutosh Sharma,92,right-hand-bat,,Batsman,Germany
Ashwani Kumar,93,right-hand-bat,right-arm-fast-medium,Batsman,India
Atharva Taide,94,left-hand-bat,slow-left-arm-orthodox,Allrounder,India
Avesh Khan,95,right-hand-bat,right-arm-fast-medium,Bowler,USA
Azhar Mahmood,96,right-hand-bat,right-arm-fast-medium,Batsman,Spain
Azmatullah Omarzai,97,right-hand-bat,right-arm-fast-medium,Allrounder,Afghanistan
B Akhil,98,,,,
B Chipli,99,right-hand-bat,right-arm-fast-medium,Bowler,India
B Geeves,100,right-hand-bat,right-arm-fast-medium,Bowler,Australia
B Indrajith,101,right-hand-bat,legbreak-googly,Batsman,India
B Kumar,102,right-hand-bat,right-arm-fast-medium,Bowler,India
B Laughlin,103,right-hand-bat,right-arm-fast-medium,Bowler,Australia
B Lee,104,right-hand-bat,right-arm-fast,Bowler,Australia
B Sai Sudharsan,105,left-hand-bat,legbreak,Batsman,India
B Stanlake,106,left-hand-bat,right-arm-fast,Bowler,Australia
B Sumanth,107,,,,
BA Bhatt,108,left-hand-bat,slow-left-arm-orthodox,Bowler,India
BA Stokes,109,left-hand-bat,right-arm-fast-medium,Allrounder,England
BAW Mendis,110,right-hand-bat,right-arm-offbreak,Bowler,Sri Lanka
BB McCullum,111,right-hand-bat,right-arm-offbreak,Wicketkeeper,New Zealand
BB Samantray,112,,,,
BB Sran,113,,,,
BCJ Cutting,114,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
BE Hendricks,115,left-hand-bat,left-arm-fast-medium,Bowler,South Africa
BJ Haddin,116,right-hand-bat,,Wicketkeeper,Australia
BJ Hodge,117,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
BJ Rohrer,118,left-hand-bat,,Batsman,Australia
BKG Mendis,119,right-hand-bat,,Wicketkeeper,Sri Lanka
BMAJ Mendis,120,,,,
BR Dunk,121,left-hand-bat,right-arm-offbreak,Wicketkeeper,Australia
BR Sharath,122,right-hand-bat,right-arm-fast-medium,Bowler,India
BW Hilfenhaus,123,right-hand-bat,right-arm-fast-medium,Bowler,Australia
Basil Thampi,124,right-hand-bat,right-arm-fast-medium,Bowler,India
Bipul Sharma,125,left-hand-bat,slow-left-arm-orthodox,Bowler,India
C Bosch,126,right-hand-bat,right-arm-fast-medium,Allrounder,South Africa
C Ganapathy,127,,,,
C Green,128,right-hand-bat,right-arm-fast-medium,Allrounder,Australia
C Madan,129,,,,
C Munro,130,left-hand-bat,right-arm-fast-medium,Batsman,New Zealand
C Nanda,131,,,,
C Sakariya,132,left-hand-bat,left-arm-fast-medium,Bowler,India
C de Grandhomme,133,right-hand-bat,right-arm-fast-medium,Allrounder,New Zealand
CA Ingram,134,left-hand-bat,legbreak,Top Order Batter,South Africa
CA Lynn,135,right-hand-bat,slow-left-arm-orthodox,Batsman,Australia
CA Pujara,136,right-hand-bat,legbreak,Batsman,India
